user_id,1-Fri,1-Mon,1-Sat,1-Sun,1-Thu,1-Tue,1-Wed,2-Fri,2-Mon,2-Sat,2-Sun,2-Thu,2-Tue,2-Wed,3-Fri,3-Mon,3-Sat,3-Sun,3-Thu,3-Tue,3-Wed,4-Fri,4-Mon,4-Sat,4-Sun,4-Thu,4-Tue,4-Wed,5-Fri,5-Mon,5-Sat,5-Sun,5-Thu,5-Tue,5-Wed
910,18350.0,3360.0,380.0,10530.0,5500.0,0.0,13860.0,8440.0,0.0,0.0,5930.0,0.0,4320.0,6430.0,0.0,15470.0,0.0,58650.0,19050.0,6080.0,7580.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,14510.0,27040.0,42150.0,16870.0,0.0,292410.0,27830.0
911,10080.0,7250.0,15320.0,20390.0,13980.0,10570.0,52910.0,21530.0,0.0,0.0,105080.0,0.0,0.0,19060.0,30220.0,255790.0,0.0,39170.0,277370.0,79610.0,0.0,0.0,12320.0,0.0,0.0,0.0,0.0,0.0,57660.0,424890.0,111370.0,59820.0,0.0,2960.0,32260.0
912,1290.0,4050.0,18680.0,15500.0,3060.0,5720.0,1010.0,0.0,0.0,0.0,0.0,27530.0,12830.0,46210.0,0.0,9020.0,0.0,17550.0,0.0,0.0,20450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45070.0,0.0,689260.0,62240.0,580620.0,0.0,2990.0
913,22580.0,63400.0,56180.0,19100.0,5700.0,11380.0,14940.0,13640.0,0.0,5060.0,43810.0,0.0,0.0,12670.0,53710.0,79750.0,0.0,45110.0,2090.0,5880.0,44120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207150.0,202930.0,46280.0,209870.0,314040.0,8110.0,87320.0
914,9660.0,42200.0,15760.0,45420.0,8640.0,9530.0,7560.0,5140.0,8000.0,34520.0,750.0,4430.0,0.0,36330.0,16230.0,29200.0,226230.0,68590.0,83880.0,107770.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171550.0,2080.0,27790.0,142280.0,57660.0,625610.0,325680.0
915,18480.0,26500.0,0.0,10170.0,980.0,9060.0,184580.0,25540.0,7250.0,7740.0,0.0,0.0,0.0,0.0,0.0,125870.0,77830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127880.0,3380.0,7420.0,30690.0,1100.0,640.0
916,5830.0,12410.0,4320.0,660.0,3040.0,8160.0,1340.0,0.0,2980.0,0.0,0.0,6820.0,16560.0,0.0,0.0,58200.0,0.0,7220.0,32570.0,1940.0,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22750.0,83470.0,2620.0,93810.0,0.0,2670.0,62450.0
917,3740.0,10560.0,27230.0,40830.0,1560.0,0.0,7010.0,15830.0,17150.0,9210.0,10900.0,0.0,6710.0,14210.0,40500.0,0.0,38030.0,0.0,68740.0,86820.0,61170.0,0.0,0.0,0.0,18680.0,0.0,0.0,0.0,0.0,0.0,4830.0,0.0,85300.0,573590.0,83820.0
918,41040.0,61200.0,10540.0,88390.0,6980.0,26840.0,15750.0,124290.0,0.0,58420.0,4650.0,0.0,2250.0,28270.0,53610.0,1158190.0,7800.0,82370.0,122510.0,29980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39690.0,540720.0,256580.0,389400.0,144880.0,37270.0,312040.0
919,27760.0,23530.0,44250.0,36660.0,51780.0,20920.0,7140.0,0.0,25350.0,0.0,18910.0,3910.0,0.0,36410.0,0.0,295690.0,182180.0,6230.0,129020.0,71560.0,0.0,7670.0,0.0,0.0,0.0,0.0,0.0,0.0,745000.0,12460.0,134650.0,42450.0,4690.0,78990.0,404960.0
